2021-09-26 13:35:05 - INFO - saving to ./results/RML_resnet_2018.01A_BNN
2021-09-26 13:35:05 - DEBUG - run arguments: Namespace(results_dir='./results', save='RML_resnet_2018.01A_BNN', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-09-26 13:35:05 - INFO - creating model resnet_binary
2021-09-26 13:35:05 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-09-26 13:35:05 - INFO - number of parameters: 736312
2021-09-26 13:35:23 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting method = SGD
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-09-26 13:35:26 - INFO - TRAINING - Epoch: [0][0/7488]	Time 2.651 (2.651)	Data 2.149 (2.149)	Loss 20.6516 (20.6516)	Prec@1 5.469 (5.469)	Prec@5 22.266 (22.266)
2021-09-26 13:35:33 - INFO - TRAINING - Epoch: [0][100/7488]	Time 0.070 (0.095)	Data 0.000 (0.021)	Loss 18.6657 (18.9045)	Prec@1 4.297 (4.231)	Prec@5 20.703 (21.159)
2021-09-26 13:35:40 - INFO - TRAINING - Epoch: [0][200/7488]	Time 0.071 (0.083)	Data 0.000 (0.011)	Loss 17.4967 (18.7561)	Prec@1 5.859 (4.157)	Prec@5 20.703 (20.880)
2021-09-26 13:35:47 - INFO - TRAINING - Epoch: [0][300/7488]	Time 0.071 (0.079)	Data 0.000 (0.007)	Loss 29.4722 (20.2978)	Prec@1 4.688 (4.135)	Prec@5 17.578 (20.945)
2021-09-26 13:35:54 - INFO - TRAINING - Epoch: [0][400/7488]	Time 0.072 (0.077)	Data 0.000 (0.005)	Loss 30.2542 (22.0154)	Prec@1 4.297 (4.137)	Prec@5 20.703 (21.047)
2021-09-26 13:36:01 - INFO - TRAINING - Epoch: [0][500/7488]	Time 0.072 (0.076)	Data 0.000 (0.004)	Loss 25.3992 (23.3266)	Prec@1 3.906 (4.112)	Prec@5 19.141 (20.957)
2021-09-26 13:36:08 - INFO - TRAINING - Epoch: [0][600/7488]	Time 0.072 (0.075)	Data 0.000 (0.004)	Loss 24.9783 (24.2343)	Prec@1 7.812 (4.123)	Prec@5 23.438 (20.902)
2021-09-26 13:36:16 - INFO - TRAINING - Epoch: [0][700/7488]	Time 0.072 (0.075)	Data 0.000 (0.003)	Loss 35.1056 (24.9765)	Prec@1 3.125 (4.109)	Prec@5 20.703 (20.873)
2021-09-26 13:36:23 - INFO - TRAINING - Epoch: [0][800/7488]	Time 0.073 (0.075)	Data 0.000 (0.003)	Loss 30.8899 (25.5136)	Prec@1 3.516 (4.124)	Prec@5 16.797 (20.867)
2021-09-26 13:36:30 - INFO - TRAINING - Epoch: [0][900/7488]	Time 0.072 (0.074)	Data 0.000 (0.002)	Loss 29.0673 (25.8747)	Prec@1 3.516 (4.127)	Prec@5 19.922 (20.822)
2021-09-26 13:36:37 - INFO - TRAINING - Epoch: [0][1000/7488]	Time 0.072 (0.074)	Data 0.000 (0.002)	Loss 25.7879 (26.2561)	Prec@1 3.906 (4.107)	Prec@5 19.141 (20.780)
2021-09-26 13:36:44 - INFO - TRAINING - Epoch: [0][1100/7488]	Time 0.072 (0.074)	Data 0.000 (0.002)	Loss 28.6749 (26.5357)	Prec@1 2.734 (4.108)	Prec@5 20.312 (20.758)
2021-09-26 13:36:52 - INFO - TRAINING - Epoch: [0][1200/7488]	Time 0.073 (0.074)	Data 0.000 (0.002)	Loss 37.5668 (26.7678)	Prec@1 3.906 (4.113)	Prec@5 19.141 (20.777)
2021-09-26 13:36:59 - INFO - TRAINING - Epoch: [0][1300/7488]	Time 0.076 (0.074)	Data 0.000 (0.002)	Loss 31.0054 (26.9271)	Prec@1 3.906 (4.113)	Prec@5 24.219 (20.787)
2021-09-26 13:37:06 - INFO - TRAINING - Epoch: [0][1400/7488]	Time 0.072 (0.074)	Data 0.000 (0.002)	Loss 29.2749 (27.0421)	Prec@1 6.250 (4.127)	Prec@5 19.922 (20.794)
2021-09-26 13:37:13 - INFO - TRAINING - Epoch: [0][1500/7488]	Time 0.074 (0.074)	Data 0.000 (0.002)	Loss 22.6748 (27.1535)	Prec@1 4.688 (4.123)	Prec@5 17.578 (20.780)
2021-09-26 13:37:21 - INFO - TRAINING - Epoch: [0][1600/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 38.2300 (27.2501)	Prec@1 5.469 (4.134)	Prec@5 19.531 (20.782)
2021-09-26 13:37:28 - INFO - TRAINING - Epoch: [0][1700/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 27.4580 (27.3418)	Prec@1 2.734 (4.141)	Prec@5 21.875 (20.817)
2021-09-26 13:37:35 - INFO - TRAINING - Epoch: [0][1800/7488]	Time 0.075 (0.073)	Data 0.000 (0.001)	Loss 28.3014 (27.4482)	Prec@1 3.906 (4.142)	Prec@5 22.266 (20.841)
2021-09-26 13:37:42 - INFO - TRAINING - Epoch: [0][1900/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 35.9449 (27.5167)	Prec@1 5.078 (4.129)	Prec@5 21.875 (20.842)
2021-09-26 13:37:50 - INFO - TRAINING - Epoch: [0][2000/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 27.9703 (27.5312)	Prec@1 4.688 (4.134)	Prec@5 18.750 (20.859)
2021-09-26 13:37:57 - INFO - TRAINING - Epoch: [0][2100/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 24.9750 (27.5959)	Prec@1 5.469 (4.141)	Prec@5 22.266 (20.854)
2021-09-26 13:38:04 - INFO - TRAINING - Epoch: [0][2200/7488]	Time 0.075 (0.073)	Data 0.000 (0.001)	Loss 31.1539 (27.6825)	Prec@1 5.859 (4.146)	Prec@5 20.703 (20.849)
2021-09-26 13:38:12 - INFO - TRAINING - Epoch: [0][2300/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 23.5426 (27.7161)	Prec@1 3.516 (4.145)	Prec@5 23.047 (20.856)
2021-09-26 13:38:19 - INFO - TRAINING - Epoch: [0][2400/7488]	Time 0.074 (0.073)	Data 0.000 (0.001)	Loss 19.3577 (27.7787)	Prec@1 5.469 (4.148)	Prec@5 20.312 (20.841)
2021-09-26 13:38:26 - INFO - TRAINING - Epoch: [0][2500/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 33.2377 (27.8317)	Prec@1 3.906 (4.147)	Prec@5 23.047 (20.854)
2021-09-26 13:38:33 - INFO - TRAINING - Epoch: [0][2600/7488]	Time 0.075 (0.073)	Data 0.000 (0.001)	Loss 33.5637 (27.8897)	Prec@1 5.078 (4.151)	Prec@5 23.828 (20.862)
