2021-10-18 22:05:13 - INFO - saving to ./results/BLResNet18
2021-10-18 22:05:13 - DEBUG - run arguments: Namespace(results_dir='./results', save='BLResNet18', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-10-18 22:05:13 - INFO - creating model resnet_binary
2021-10-18 22:05:13 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-10-18 22:05:13 - INFO - number of parameters: 736312
2021-10-18 22:05:30 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting method = SGD
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-10-18 22:05:32 - INFO - TRAINING - Epoch: [0][0/7488]	Time 1.748 (1.748)	Data 1.264 (1.264)	Loss 3.2953 (3.2953)	Prec@1 4.688 (4.688)	Prec@5 23.438 (23.438)
2021-10-18 22:05:39 - INFO - TRAINING - Epoch: [0][100/7488]	Time 0.069 (0.084)	Data 0.000 (0.013)	Loss 3.2716 (3.2831)	Prec@1 3.516 (4.227)	Prec@5 16.797 (20.958)
2021-10-18 22:05:46 - INFO - TRAINING - Epoch: [0][200/7488]	Time 0.069 (0.076)	Data 0.000 (0.006)	Loss 3.2369 (3.2586)	Prec@1 3.516 (4.242)	Prec@5 22.266 (21.053)
2021-10-18 22:05:53 - INFO - TRAINING - Epoch: [0][300/7488]	Time 0.070 (0.074)	Data 0.000 (0.004)	Loss 3.2010 (3.2452)	Prec@1 4.297 (4.184)	Prec@5 23.828 (20.868)
2021-10-18 22:06:00 - INFO - TRAINING - Epoch: [0][400/7488]	Time 0.070 (0.073)	Data 0.000 (0.003)	Loss 3.2001 (3.2365)	Prec@1 3.516 (4.222)	Prec@5 23.047 (20.771)
2021-10-18 22:06:07 - INFO - TRAINING - Epoch: [0][500/7488]	Time 0.073 (0.072)	Data 0.000 (0.003)	Loss 3.2009 (3.2295)	Prec@1 2.344 (4.265)	Prec@5 22.266 (20.895)
2021-10-18 22:06:14 - INFO - TRAINING - Epoch: [0][600/7488]	Time 0.070 (0.072)	Data 0.000 (0.002)	Loss 3.1910 (3.2244)	Prec@1 3.125 (4.233)	Prec@5 19.141 (20.933)
2021-10-18 22:06:21 - INFO - TRAINING - Epoch: [0][700/7488]	Time 0.069 (0.072)	Data 0.000 (0.002)	Loss 3.2131 (3.2205)	Prec@1 5.078 (4.240)	Prec@5 21.094 (20.894)
2021-10-18 22:06:28 - INFO - TRAINING - Epoch: [0][800/7488]	Time 0.071 (0.072)	Data 0.000 (0.002)	Loss 3.1872 (3.2171)	Prec@1 6.641 (4.274)	Prec@5 21.484 (20.939)
2021-10-18 22:06:35 - INFO - TRAINING - Epoch: [0][900/7488]	Time 0.072 (0.072)	Data 0.000 (0.002)	Loss 3.1904 (3.2145)	Prec@1 2.344 (4.297)	Prec@5 21.484 (20.939)
2021-10-18 22:06:42 - INFO - TRAINING - Epoch: [0][1000/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1916 (3.2122)	Prec@1 4.688 (4.295)	Prec@5 20.703 (20.929)
2021-10-18 22:06:49 - INFO - TRAINING - Epoch: [0][1100/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1868 (3.2102)	Prec@1 5.078 (4.303)	Prec@5 21.875 (20.943)
2021-10-18 22:06:56 - INFO - TRAINING - Epoch: [0][1200/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1802 (3.2085)	Prec@1 5.859 (4.303)	Prec@5 26.172 (20.924)
2021-10-18 22:07:03 - INFO - TRAINING - Epoch: [0][1300/7488]	Time 0.074 (0.071)	Data 0.000 (0.001)	Loss 3.1951 (3.2071)	Prec@1 3.906 (4.289)	Prec@5 20.703 (20.905)
2021-10-18 22:07:11 - INFO - TRAINING - Epoch: [0][1400/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1855 (3.2056)	Prec@1 3.125 (4.289)	Prec@5 21.094 (20.923)
2021-10-18 22:07:18 - INFO - TRAINING - Epoch: [0][1500/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1851 (3.2044)	Prec@1 2.734 (4.294)	Prec@5 21.094 (20.923)
2021-10-18 22:07:25 - INFO - TRAINING - Epoch: [0][1600/7488]	Time 0.072 (0.071)	Data 0.000 (0.001)	Loss 3.1739 (3.2034)	Prec@1 5.078 (4.291)	Prec@5 24.609 (20.934)
2021-10-18 22:07:32 - INFO - TRAINING - Epoch: [0][1700/7488]	Time 0.070 (0.071)	Data 0.000 (0.001)	Loss 3.1744 (3.2024)	Prec@1 4.688 (4.294)	Prec@5 18.750 (20.943)
2021-10-18 22:07:39 - INFO - TRAINING - Epoch: [0][1800/7488]	Time 0.072 (0.071)	Data 0.000 (0.001)	Loss 3.2055 (3.2016)	Prec@1 3.906 (4.297)	Prec@5 19.922 (20.951)
2021-10-18 22:07:46 - INFO - TRAINING - Epoch: [0][1900/7488]	Time 0.070 (0.071)	Data 0.000 (0.001)	Loss 3.2159 (3.2009)	Prec@1 2.734 (4.297)	Prec@5 17.578 (20.964)
2021-10-18 22:07:54 - INFO - TRAINING - Epoch: [0][2000/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1975 (3.2001)	Prec@1 4.688 (4.296)	Prec@5 23.438 (20.960)
